AK;AK0091;TULUKSAK SCHOOL/COMMUNITY LIBRARY                           ;www.yupiit.org/resources/libraries.html                                         ;520;2;0.5;17830;471;5200;1000;4794
AK;AK0092;NAQIAKSRAT LIBRARY                                          ;-3                                                                              ;582;1;0.3;15040;202;2487;82;1385
AK;AK0094;TUZZY CONSORTIUM LIBRARY                                    ;www.tuzzy.org                                                                   ;5752;11;13;785730;6785;52341;13449;27920
AK;AK0095;AKIACHAK SCHOOL/COMMUNITY LIBRARY                           ;www.yupiit.org/resources/libraries.html                                         ;480;2;0.6;18893;645;6451;3065;3165
AK;AK0097;ESTHER GREENWALD LIBRARY                                    ;-3                                                                              ;720;6;0.65;37578;764;12231;6886;6117
AK;AK0099;MOOSE PASS PUBLIC LIBRARY                                   ;-3                                                                              ;610;2;0;11655;189;2281;338;6672
AK;AK0100;NIKOLAI COMMUNITY/SCHOOL LIBRARY                            ;-3                                                                              ;480;8;0.25;15363;87;2100;1050;630
AK;AK0101;SAND POINT COMMUNITY/SCHOOL LIBRARY                         ;-3                                                                              ;765;20;0.38;54510;1001;26500;13500;25230
AK;AK0102;EGEGIK VILLAGE LIBRARY                                      ;-3                                                                              ;520;1;0.25;17668;73;1140;520;1399
AK;AK0103;TRAPPER CREEK PUBLIC LIBRARY                                ;www.matsulibraries.org/trappercreek/                                            ;1270;5;0.99;99272;1584;4553;1673;7249
AK;AK0104;HOLY CROSS COMMUNITY/SCHOOL LIBRARY                         ;-3                                                                              ;480;2;0.35;15634;187;780;315;845
AK;AK0113;OUZINKIE TRIBAL MEDIA CENTER                                ;-3                                                                              ;2340;6;0.7;15000;170;3200;2600;2140
AK;AK0114;ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY                  ;-3                                                                              ;480;5;0.25;21315;111;1022;465;350
AK;AK0115;UNALASKA PUBLIC LIBRARY                                     ;www.unalaska-ak.us/                                                             ;3484;21;4.5;519525;3662;109184;68786;197743
AK;AK0116;ANIAK PUBLIC LIBRARY                                        ;-3                                                                              ;650;6;0.25;15050;485;2250;1250;1500
AK;AK0117;HYDER PUBLIC LIBRARY                                        ;-3                                                                              ;480;1;0;9075;87;1150;145;476
AK;AK0120;INNOKO RIVER COMMUNITY/SCHOOL LIBRARY                       ;shx.schoolaccess.net/                                                           ;850;7;0.68;12782;97;2100;1500;983
AK;AK0121;ANVIK COMMUNITY/SCHOOL LIBRARY                              ;-3                                                                              ;480;3;0.25;11323;75;1520;540;854
AK;AK0122;GRAYLING COMMUNITY/SCHOOL LIBRARY                           ;-3                                                                              ;480;4;0.25;13355;177;1417;890;460
AK;AK0124;LAKE MINCHUMINA COMMUNITY LIBRARY                           ;-3                                                                              ;624;2;0;8300;17;824;624;1757
AK;AK0126;IGIUGIG TRIBAL LIBRARY                                      ;www.igiugig.com/                                                                ;539;5;0.6;20233;48;1198;358;1548
AK;AK0127;COFFMAN COVE COMMUNITY LIBRARY                              ;-3                                                                              ;2890;4;0;24757;152;4887;3682;6266
AK;AK0129;MOUNTAIN VILLAGE PUBLIC LIBRARY                             ;-3                                                                              ;-3;-3;-3;-3;-3;-3;-3;-3
AK;AK0130;THORNE BAY PUBLIC LIBRARY                                   ;-3                                                                              ;1230;2;0.43;20888;424;2139;665;2636
AK;AK0133;PILOT POINT TRIBAL LIBRARY                                  ;-3                                                                              ;1300;1;0.43;18202;66;1275;700;1294
AK;AK0134;WHALE PASS COMMUNITY LIBRARY                                ;-3                                                                              ;650;2;0;9360;60;1656;859;2243
AK;AK0135;TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER                   ;-3                                                                              ;1500;2;0;22496;820;1800;1500;2174
AK;AK0136;SCAMMON BAY PUBLIC LIBRARY                                  ;-3                                                                              ;1248;1;0;6350;528;900;650;250
AK;AK0137;KLUKWAN COMMUNITY/SCHOOL LIBRARY                            ;chilkatindianvillage.org/library.php                                            ;780;3;1.25;46223;72;3000;928;2929
AL;AL0001;CARL ELLIOTT REGIONAL LIBRARY SYSTEM                        ;WWW.YOUSEEMORE.COM/CERL                                                         ;2250;3;3.5;243357;66833;233079;3517;2912
AL;AL0002;ARLEY PUBLIC LIBRARY                                        ;WWW.YOUSEEMORE.COM/CERL                                                         ;1820;5;0.5;26595;320;7805;1359;9379
AL;AL0003;CORDOVA PUBLIC LIBRARY                                      ;WWW.YOUSEEMORE.COM/CERL                                                         ;1040;3;0.5;16830;2283;8684;158;6057
AL;AL0005;DOUBLE SPRINGS PUBLIC LIBRARY                               ;WWW.YOUSEEMORE.COM/CERL                                                         ;2236;4;1;31468;983;3739;579;5638
AL;AL0006;HALEYVILLE PUBLIC LIBRARY                                   ;WWW.YOUSEEMORE.COM/CERL                                                         ;2496;4;2;67321;4076;15504;723;8173
AL;AL0007;JASPER PUBLIC LIBRARY                                       ;WWW.YOUSEEMORE.COM/CERL                                                         ;2288;9;3.5;186078;13978;54583;5059;71783
AL;AL0009;SUMITON PUBLIC LIBRARY                                      ;WWW.YOUSEEMORE.COM/CERL                                                         ;2132;4;1.5;43777;2554;9714;532;6564
AL;AL0010;CHEAHA REGIONAL LIBRARY                                     ;CHEAHAREGIONALLIBRARY.ORG                                                       ;5640;6;3;91318;97376;2128;109;84214
AL;AL0011;ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY                    ;-3                                                                              ;2154;11;4;117800;6613;29656;11302;50902
AL;AL0012;ASHLAND CITY PUBLIC LIBRARY                                 ;-3                                                                              ;2184;8;3;67045;1873;14703;3856;24367
AL;AL0013;SYLACAUGA - B. B. COMER MEMORIAL LIBRARY                    ;www.sylacauga.net/library                                                       ;2808;57;14;687668;12871;78354;22092;191536
AL;AL0014;CHEROKEE COUNTY PUBLIC LIBRARY                              ;www.cheaharegionallibrary.org                                                   ;2000;7;3;157925;3462;30456;9;68935
AL;AL0015;CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY          ;www.childersburg.org/library                                                    ;2540;14;5;154935;5026;21752;13338;46225
AL;AL0016;LINCOLN PUBLIC LIBRARY                                      ;-3                                                                              ;2499;6;2.1;91675;5514;9004;5048;8875
AL;AL0017;LINEVILLE PUBLIC LIBRARY                                    ;cheaharegionallibrary.org                                                       ;1757;3;2;32287;2367;6574;339;10987
AL;AL0018;HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY                    ;-3                                                                              ;1262;8;0.55;34524;3511;11561;2754;13392
AL;AL0019;OXFORD PUBLIC LIBRARY                                       ;cheaharegionallibrary.org                                                       ;2236;20;7;316080;20329;83684;12543;125247
AL;AL0020;TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY                ;-3                                                                              ;2392;27;10;402388;17115;41774;4714;67056
